# Pathway	4367_Abundance	4368_Abundance	4369_Abundance	4370_Abundance	4371_Abundance	4372_Abundance	4373_Abundance	4374_Abundance	4375_Abundance	4376_Abundance	4377_Abundance	4378_Abundance	4379_Abundance	4380_Abundance	4381_Abundance	4382_Abundance	4383_Abundance	4384_Abundance	4385_Abundance	4386_Abundance	4387_Abundance	4388_Abundance	4389_Abundance	4390_Abundance	4391_Abundance	4392_Abundance	4393_Abundance	4394_Abundance	4395_Abundance	4396_Abundance	4397_Abundance	4398_Abundance	4399_Abundance	4400_Abundance	4401_Abundance	4402_Abundance	4403_Abundance	4404_Abundance	4405_Abundance	4406_Abundance	4408_Abundance	4409_Abundance	4410_Abundance	4412_Abundance	4413_Abundance	4414_Abundance	4416_Abundance	4417_Abundance	4418_Abundance	4419_Abundance	4421_Abundance	4422_Abundance	4423_Abundance	4424_Abundance	4425_Abundance	4426_Abundance	4427_Abundance	4428_Abundance	4429_Abundance	4430_Abundance	4431_Abundance	4432_Abundance	4433_Abundance	4434_Abundance	4435_Abundance	4436_Abundance	4437_Abundance	4438_Abundance
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0	0	8.81412e-05	4.31311e-05	0.000203221	0.000120612	3.04653e-06	0	5.70885e-05	4.59293e-07	3.05875e-05	0.000106691	4.93268e-05	6.59889e-05	0	9.44483e-05	2.6592e-05	2.90176e-05	0.000152867	0.000810539	2.64381e-05	0.000239329	0.00041769	4.07037e-06	0.000369544	0.000125834	0.000241634	0.000112361	1.25527e-05	9.77437e-05	0.000241713	1.09703e-05	1.91749e-05	0	0	5.2323e-05	9.00186e-05	0.000183203	1.90643e-05	0	0	2.04577e-06	5.1177e-05	0.00016081	7.4176e-05	1.60658e-05	4.96613e-05	0.000148257	9.27556e-05	8.16446e-05	0	1.99597e-06	0.000173402	7.67411e-05	0.000165272	0.000306001	0.000169363	7.61719e-05	0.000156241	0.000149617	0.000149331	0.000226208	0.000232344	5.97956e-05	6.51271e-05	8.58738e-05	7.7964e-05	0.000123695
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0	0	3.56858e-05	2.10328e-05	0.000145346	0	0	0	9.11654e-06	0	0	7.78135e-05	9.82847e-06	2.13246e-05	0	0.000113427	6.82656e-06	3.08116e-07	1.08194e-05	1.273e-05	9.85587e-08	3.03372e-06	1.12362e-05	1.31216e-05	9.85622e-07	0.000162239	3.74922e-05	0.00013928	8.18654e-07	0	4.59356e-06	0	0	0	0	1.71927e-06	0	5.55396e-06	4.30928e-05	0	0	0	7.02213e-06	0	8.56945e-05	8.70275e-07	2.37059e-05	1.63941e-05	6.60316e-06	3.1837e-05	0	8.87639e-07	4.94133e-07	2.21243e-06	3.03651e-07	1.05023e-06	8.68952e-07	2.89057e-06	3.94962e-07	0	0	2.98375e-07	0	0	0	1.38769e-06	8.47666e-07	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0	0	0	0.000150743	0	1.96812e-07	0	9.83181e-05	0.000102064	0	0	5.80262e-05	3.01385e-05	0.000221615	0	0	0.000105277	0.000195835	0	3.02629e-05	2.00461e-05	2.79982e-05	2.81895e-05	1.97437e-05	5.3853e-05	9.09993e-07	2.40576e-06	4.77373e-07	0.000147772	4.10993e-05	9.21109e-06	0.000413087	0.000156725	0	3.32811e-05	0.000134149	0.000211059	8.67072e-05	7.69033e-07	2.22684e-05	1.89311e-05	4.18079e-05	5.72085e-05	1.42413e-06	0	6.05372e-05	1.45344e-05	0.000106565	2.9077e-05	4.33687e-07	1.93018e-05	2.24688e-06	0.000101773	5.97254e-05	0.000118775	7.41569e-05	8.49461e-05	6.27086e-05	0.000143014	0.000140604	0.000151009	8.31173e-05	0.00014079	6.6765e-05	0.00012563	4.44345e-05	1.06931e-05	2.06072e-05
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0.000976748	0	0	0	0	7.15757e-06	0	1.26509e-05	7.86927e-06	0	0	0	5.61178e-06	0	0	5.76446e-06	3.56655e-06	0	0	0	4.82602e-07	0	0	0	0	0	0	0	3.64677e-06	0	1.76923e-06	3.85348e-06	0	0	0.000197532	5.30531e-06	2.12571e-07	0	1.58092e-05	0	0	2.40006e-05	0	0.00016516	5.47137e-06	2.02731e-06	9.01281e-05	0	1.22445e-06	4.10239e-06	0.000130275	0	3.22602e-06	2.80432e-06	2.27275e-06	0	3.22268e-06	1.16905e-06	2.43673e-06	2.06583e-06	7.21838e-07	2.7321e-06	5.64097e-07	2.00407e-06	4.89815e-06	4.18019e-06	8.26571e-07	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0	0	0.000459212	0.000428566	0.000259207	0.000345966	6.93398e-05	0	0.000394998	4.43885e-06	0.00020763	0.000264768	0.000579431	0.000375519	2.44419e-06	0.00019237	0.00039323	0.000184504	0.000812194	0.000944148	0.00012433	0.000629369	0.00098081	0.000345362	0.000535811	0.000197361	0.000507052	0.00025469	0.000132968	0.00024514	0.000535779	0.000145144	3.41278e-05	7.44311e-05	6.85058e-05	0.000455027	0.000174052	0.000485882	7.78965e-05	0	3.36065e-05	1.16983e-05	0.000483039	0.000337038	0.000211967	0.000351855	0.000294353	0.000431611	0.000384427	0.000328181	0.000118115	1.3924e-05	0.000361122	0.000367269	0.000272484	0.000506566	0.000415973	0.000498658	0.000292369	0.000303469	0.000324422	0.00035166	0.000289833	0.000156476	0.000336109	0.000287399	0.000346881	8.89275e-05
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0	0	0.000515594	0.000439391	0.000275241	0.000293165	2.72722e-05	0	0.000370523	1.15725e-06	8.08317e-05	0.000318009	0.000505831	0.000397033	0	0.000220601	0.000402216	8.84411e-05	0.000822104	0.000837492	4.97933e-05	0.000583252	0.00094151	0.000323413	0.000333793	0.00022672	0.000558044	0.000292533	0.000108437	8.4371e-05	0.000429836	6.51513e-05	1.31898e-05	3.98551e-05	7.16953e-05	0.000372312	7.74048e-05	0.000383611	8.95188e-05	0	3.60922e-05	3.60054e-06	0.000369673	8.41154e-05	0.000253306	0.000334862	0.000325937	0.000418005	0.000273969	0.000381094	0.000119844	4.83826e-06	0.000198404	0.000229284	0.000134223	0.000287257	0.000245753	0.000426307	0.00015679	0.000164547	0.000170903	0.000192468	0.000147262	6.87584e-05	0.000246963	0.000159155	0.000218838	3.58585e-05
ARO-PWY: chorismate biosynthesis I	3.85274e-05	0	0.000247187	0.000378301	0.000229258	0.000444255	0.000576619	1.75835e-06	0.000522413	0.00028252	0.000275153	0.000302392	0.000502963	0.00043057	8.19173e-05	0.000274557	0.000396238	0.00054763	0.000708976	0.000797449	0.00105065	0.000608944	0.000663809	0.000342423	0.000760209	0.000180644	0.000555475	0.000239672	0.000190838	0.000736181	0.000608066	0.000494452	0.000591043	7.02144e-05	6.88745e-05	0.000533816	0.000648269	0.000589125	0.000208663	0	7.12718e-05	1.66186e-05	0.000604304	0.000354252	0.000194769	0.000377935	0.000307484	0.000485059	0.000567423	0.000236214	0	0.000308919	0.000679313	0.000687288	0.000657915	0.000816251	0.000648434	0.000673317	0.000581462	0.000593963	0.000702322	0.000667971	0.000634595	0.000716022	0.000511959	0.000685471	0.000481368	0.000703514
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	6.89818e-06	0	0.000124857	0.000286172	0.000350348	0.000194393	1.64841e-05	7.63797e-05	0.000149579	4.19659e-06	0.000291567	0.000214733	0.000115581	7.84261e-05	4.86821e-07	0.000258224	9.61379e-05	0.000326129	9.85836e-05	0.000190114	0.000102185	0.000360873	0.000151033	0.000199295	0.000335147	0.000364038	0.00021114	0.00033689	0.000118095	5.05569e-05	0.00026426	9.77094e-06	0.000126868	0.000250213	2.73375e-05	0.000135149	0.000250262	0.000234907	0.000100812	3.85693e-05	1.33952e-05	0	0.000174566	0.000139428	0.000323678	0.00017521	8.57533e-05	0.000180645	0.000187892	0.000166392	2.91315e-05	6.15245e-06	0.000236643	0.000188967	0.000233277	0.000235005	0.000218829	0.000188999	0.000198924	0.000199195	0.000245789	0.000245943	0.000236182	0.00017264	0.000132278	0.000141501	4.13912e-05	0.000204708
AST-PWY: L-arginine degradation II (AST pathway)	0	0	3.22282e-05	1.92044e-05	0.000132223	2.29969e-05	0	0	6.88248e-06	0	0	7.77371e-05	9.45111e-06	1.72073e-05	0	9.27215e-05	1.31462e-05	1.28306e-06	1.38599e-05	1.07072e-05	0	2.07777e-06	6.16982e-06	5.33166e-06	1.3122e-06	8.42303e-05	2.99238e-05	8.83513e-05	5.91742e-05	0	2.27926e-06	0	0	0	1.07688e-05	4.47506e-06	0	3.31463e-06	0.000167383	0	0	0	6.31262e-06	0	0.000146534	8.83751e-06	1.64844e-05	1.12377e-05	8.88006e-06	4.4715e-05	0	0.000217514	3.45405e-07	1.85305e-06	3.44979e-07	7.67423e-07	6.68339e-07	1.82028e-06	8.68326e-07	7.92766e-07	0	2.5953e-07	0	7.73393e-08	5.02657e-07	1.61894e-06	1.6493e-07	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	4.14632e-06	0	6.7945e-05	7.43183e-05	0.000156277	0.000106995	1.66624e-06	0	6.47304e-05	0.000261998	0.000151224	0.000160425	3.61392e-05	6.58973e-05	7.63957e-05	0.000151967	6.5497e-05	1.74726e-05	4.72856e-05	4.13005e-05	1.51146e-06	2.32869e-05	2.69315e-05	4.77729e-05	1.73755e-05	0.000153563	7.67714e-05	0.000147905	6.44553e-05	1.0852e-05	2.43003e-05	6.09326e-06	0	2.2881e-06	2.38177e-05	3.08441e-05	1.51291e-05	1.92253e-05	0.00013837	0	5.92597e-05	0	3.36745e-05	4.48634e-05	0.000154145	4.47507e-05	4.7737e-05	0.000144195	7.40793e-05	0.000105276	0	0.00027465	1.14603e-05	1.68886e-05	3.20003e-05	1.17128e-05	1.29256e-05	1.6608e-05	1.57336e-05	1.67186e-05	1.01617e-05	7.62228e-06	3.21743e-05	2.677e-06	1.48498e-05	1.13035e-05	4.26519e-06	3.54954e-06
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	1.66364e-05	0	0.000142709	0.000353596	0.000295549	0.000417663	0.000453012	7.62046e-06	0.000400661	0	3.10027e-05	0.000179636	0.000560438	0.000155768	0	0.000146858	0.000209774	0.000409094	0.000572018	0.000989435	0.000712588	0.000779183	0.000992085	0.000310037	0.000710337	4.02143e-06	0.000315262	0.000119697	0.000187146	0.000380415	0.000569819	0.000110788	0.000323907	1.21467e-05	0.000155278	0.000276269	0.000497675	0.000451904	0.000230161	0	3.92118e-05	8.4936e-06	0.00038198	0.00021324	0.000126582	0.000195805	0.000150949	0.000397546	0.000413409	0.00031187	0.000209271	0.000302803	0.000582592	0.000453875	0.000513329	0.000691427	0.000548937	0.000428565	0.000460867	0.000465572	0.000537216	0.000501809	0.000521544	0.000403949	0.00026558	0.000349927	0.000452821	0.000490393
CALVIN-PWY: Calvin-Benson-Bassham cycle	1.20057e-05	0	0.000171931	0.000418836	7.31758e-05	0.000303046	0.000440699	0.000203526	0.000282725	0.000432295	0.000482007	0.000223693	0.000328992	0.000262608	0.000186527	0.000342809	0.00023466	0.000505856	0.000315378	0.000949622	0.000681701	0.000574803	0.000547058	0.000390214	0.000754846	7.82295e-05	0.000517032	0.000164766	0.000158015	0.000521474	0.000664237	0.000312714	0.00044113	0.000125066	7.66524e-05	0.000404357	0.000587157	0.000590736	0.000271352	4.52174e-05	0.000130851	3.51024e-05	0.000549099	0.000480555	3.13711e-05	0.000223123	0.00021266	0.000356156	0.000344917	0.000225367	5.13196e-05	0.00037067	0.00063595	0.000332455	0.000606014	0.000849063	0.000618432	0.000317664	0.000533415	0.000535576	0.000608728	0.000653566	0.000638955	0.00040908	0.000287425	0.00032582	0.000376784	0.000516877
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	0	0	0	0	0	0	0	4.04412e-06	4.111e-06	0	0	3.97794e-07	3.03342e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	3.23857e-06	0	0	0	0	2.35683e-07	0	0	0	0	3.59581e-06	0	0	0	0	0	0	0	0	5.90793e-07	5.99464e-06	0	0	1.12907e-05	0	3.02129e-07	0	0	0	4.37736e-07	5.69634e-07	0	0	0	0	0	0	4.32801e-07	0	0
CENTFERM-PWY: pyruvate fermentation to butanoate	0	0	0	2.43412e-07	0	1.21629e-05	0	0	4.27871e-06	0	0	1.30555e-06	7.04107e-06	3.42091e-07	0	0	3.04052e-06	3.92103e-06	0	0	7.22207e-06	1.4604e-05	1.19476e-06	0	2.51623e-05	0	0	1.77203e-07	3.19068e-06	0	5.37886e-06	0	0	0	0	1.31529e-05	2.16565e-05	5.44408e-05	0	0	0	0	4.62589e-06	0	0	0	0	1.0251e-06	1.31445e-05	3.09992e-07	0	0	1.4505e-05	1.45299e-05	1.74738e-05	3.44509e-06	1.87139e-05	1.3023e-05	1.28095e-05	1.52555e-05	1.45102e-05	2.71024e-05	3.25293e-05	1.57744e-05	1.88123e-05	2.31332e-05	2.33403e-06	8.64027e-06
CITRULBIO-PWY: L-citrulline biosynthesis	0	0	5.3004e-06	2.97489e-05	0	5.99118e-06	3.86003e-07	8.84954e-05	3.6653e-06	0	0	0	0	4.96995e-05	0	0	7.76347e-06	3.83327e-05	7.55792e-06	2.751e-05	3.18756e-05	8.90767e-06	1.99184e-06	4.30206e-06	8.89918e-06	1.36205e-06	1.49158e-06	0	3.73925e-05	5.28117e-06	1.02252e-05	0.000123809	1.90032e-05	0	7.58737e-05	1.24702e-05	2.30708e-05	2.01592e-05	1.1511e-06	3.05454e-05	2.84011e-05	6.21425e-05	3.21335e-05	2.13212e-06	0	1.16187e-05	2.07128e-05	2.34262e-05	9.53135e-06	0	5.50068e-05	3.36035e-06	4.64007e-05	5.66854e-05	2.07516e-05	2.96433e-05	3.04724e-05	5.60858e-05	2.86287e-05	3.04417e-05	1.96259e-05	2.74377e-05	1.41812e-05	3.73139e-05	3.46669e-05	2.59416e-05	1.52883e-05	1.29913e-05
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.00118068	0	0.000479117	0.000409873	0.000271191	0.000406248	0.000547437	0.000443476	0.000469183	0.000333435	0.000152801	0.000312204	0.000591008	0.000437795	7.78094e-05	0.000299387	0.000408586	0.00060851	0.000726743	0.000515975	0.000963279	0.00093656	0.000789173	0.000532785	0.000652423	0.000232807	0.000453746	0.000276999	0.000239197	0.000613578	0.000554693	0.000643705	0.000543626	0.000496378	9.61285e-05	0.000515481	0.000664309	0.000546647	0.000174239	0	8.70466e-05	0.0021945	0.000535599	0.000569957	0.000196638	0.000405081	0.000284798	0.00052483	0.000553831	0.000253757	0.000181113	0.000256459	0.000620286	0.000582212	0.000569176	0.000663226	0.000575308	0.000568091	0.000514714	0.00052052	0.000635235	0.000569037	0.000549195	0.000664461	0.000590904	0.000605624	0.000417931	0.000557293
COA-PWY: coenzyme A biosynthesis I	0.000658975	0	0.000113941	0.000254814	0.000264204	0.000178081	0.000105395	5.79638e-06	6.67529e-05	0	8.14007e-05	0.000156193	0.000115402	4.61783e-05	9.87233e-05	0.000154214	0.000110136	0.000343005	0.000193406	3.25351e-05	0.000253637	0.000146654	7.08007e-05	0.000151508	0.000369749	0.000179536	0.0003084	0.000188181	6.68901e-05	0.000155371	0.00029729	6.21901e-06	0.000182374	0.000113586	0.000121214	0.000168616	0.000280436	0.000314434	0.000100004	0	0.00010751	2.10124e-06	0.000246928	0.000349784	0.0001833	0.0001241	0.000224174	0.000177344	0.000190023	0.000138848	0.000118596	7.12979e-07	0.000305463	0.000143291	0.000242146	0.000261854	0.00030947	0.000142035	0.000254618	0.000254835	0.000296497	0.00028303	0.000241794	0.000195207	0.000159729	0.000179076	0.000221218	0.000159213
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0	0	6.23906e-05	0.000225437	0.000166504	3.26639e-05	9.67348e-07	0	1.78974e-05	2.04818e-06	1.13553e-06	0.000126282	1.42162e-05	3.17028e-05	0	8.67958e-05	7.22307e-05	0.000269297	3.90845e-05	0.000773703	0.000178367	0.00021209	0.000287963	0.00015601	0.000439109	0.000113023	0.000256137	0.000122281	5.35322e-06	8.69116e-05	0.000216487	2.05348e-07	8.59622e-05	7.41138e-07	6.63433e-06	0.000129089	0.000244106	0.000235789	2.89642e-05	0	0	0	0.000222015	5.21421e-05	0.000169424	1.9539e-05	4.32062e-05	0.000191951	0.000126486	6.15183e-05	0	3.47659e-07	0.000265031	0.000214875	0.000247728	0.000345472	0.0002682	0.000207367	0.000229481	0.000220986	0.000283563	0.000283627	0.000267125	0.000204853	0.000160197	0.000199361	0.00012619	0.000253741
COLANSYN-PWY: colanic acid building blocks biosynthesis	0	0	3.9231e-05	6.19448e-05	0	5.44522e-05	0	0	2.48354e-05	0	4.68824e-06	0.000107972	3.41895e-05	4.36535e-05	0	6.98347e-05	4.5631e-05	9.42855e-05	3.09417e-05	2.04527e-05	8.00813e-06	1.75195e-05	2.38164e-05	6.02669e-05	2.31117e-05	8.10969e-05	8.67232e-05	8.35113e-05	5.05992e-05	1.94347e-05	3.05128e-05	3.83682e-06	3.29674e-05	0	0	6.38026e-05	3.43847e-05	3.10211e-05	0	0	0	0	8.98708e-05	0	7.70724e-06	4.51497e-05	2.50747e-05	0.000111703	6.67344e-05	6.42485e-05	0	2.72837e-07	7.49186e-05	1.97257e-05	2.68709e-05	1.13074e-05	4.98513e-05	2.08234e-05	7.06286e-05	7.08401e-05	7.08925e-05	6.20403e-05	6.89803e-05	2.29279e-05	5.74701e-05	4.17791e-05	4.26251e-06	8.91671e-06
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	4.37752e-05	0	0.000262636	0.000361614	0.000238898	0.000430735	0.00057929	2.00671e-06	0.000515975	0.000295567	0.000295958	0.000300719	0.000486564	0.000432797	8.6139e-05	0.000285162	0.000395539	0.000529097	0.000697776	0.000802381	0.00101551	0.000634623	0.000673267	0.000338898	0.000703666	0.000188239	0.000534145	0.000248484	0.000192669	0.00072401	0.000599915	0.0005062	0.000587696	7.8528e-05	7.11317e-05	0.000516181	0.000624521	0.000559665	0.000212251	0	7.50425e-05	1.89706e-05	0.000569502	0.000358766	0.000200289	0.000402135	0.00031166	0.000483533	0.000523316	0.000227908	0	0.000323898	0.000656835	0.000660861	0.000635978	0.000790508	0.00061806	0.00064644	0.000565074	0.000577213	0.000662591	0.000631178	0.000609059	0.000687002	0.000526855	0.00067513	0.000463446	0.000682965
CRNFORCAT-PWY: creatinine degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08296e-07	0	0	1.40627e-05	0	0	0	0	7.05928e-06	0	0	0	6.69235e-06	0	0	0	0	0	5.61194e-06	8.76116e-06	1.50364e-05	0	3.98693e-06
